ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35204016,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",f.,"stricta","(Meyl.) Podp.",Accepted,,L,TRO,35204016,,"Consp. Musc. Eur.","562","562","1954",
tro-35102634,B,Amblystegiaceae,,Amblystegiella,,"madurensis",,"","Cardot & P. de la Varde",Accepted,,M,TRO,35102634,,"Rev. Bryol.","50: 78","78","1923",
tro-35102635,B,Amblystegiaceae,,Amblystegiella,,"minutissima",,"","(Sull. & Lesq.) Nichols",Accepted,,M,TRO,35102635,,"Bryologist","11: 5","5","1908",
tro-35102636,B,Amblystegiaceae,,Amblystegiella,,"pseudoconfervoides",,"","(Kindb.) Broth.",Accepted,,M,TRO,35102636,,"Nat. Pflanzenfam.","I(3): 1025","1025","1908",
tro-35102638,B,Amblystegiaceae,,Amblystegiella,,"sinensi-subtilis",,"","(Müll. Hal.) Broth.",Synonym,,M,TRO,35102638,,"Nat. Pflanzenfam.","I(3): 1026","1026","1908",tro-35189506
tro-35102639,B,Amblystegiaceae,,Amblystegiella,,"sprucei",,"","(Bruch) Loeske",Synonym,,M,TRO,35102639,,"Moosfl. Harz.","295","295","1903",tro-35183055
tro-35102640,B,Amblystegiaceae,,Amblystegiella,,"sprucei",var.,"serrata","(Meyl.) Hillier",Synonym,,L,TRO,35102640,,"Ann. Sci. Univ. Besançon","3: 152","152","1954",tro-35204015
tro-35102641,B,Amblystegiaceae,,Amblystegiella,,"sprucei",var.,"stricta","(Meyl.) Hillier",Synonym,,L,TRO,35102641,,"Ann. Sci. Univ. Besançon","3: 152","152","1954",tro-35204016
tro-35102642,B,Leskeaceae,,Amblystegiella,,"spurio-subtilis",,"","(Broth. & Paris) Broth.",Synonym,,M,TRO,35102642,,"Nat. Pflanzenfam.","I(3): 1026","1026","1908",tro-35100261
tro-35102643,B,Amblystegiaceae,,Amblystegiella,,"subtilis",,"","(Hedw.) Loeske",Synonym,,M,TRO,35102643,,"Moosfl. Harz.","295","295","1903",tro-35182607
tro-35204017,B,Amblystegiaceae,,Amblystegiella,,"subtilis",f.,"adnata","(Hedw.) Podp.",Unresolved,,L,TRO,35204017,,"Consp. Musc. Eur.","563","563","1954",
tro-35102645,B,Amblystegiaceae,,Amblystegiella,,"subtilis",var.,"dentata","(C.E.O. Jensen) C.E.O. Jensen",Unresolved,,L,TRO,35102645,,"Skand. Bladmossfl.","485","485","1939",
tro-35102646,B,Amblystegiaceae,,Amblystegiella,,"subtilis",var.,"tenuissima","(Schimp.) Herzog",Synonym,,L,TRO,35102646,,"Kryptog. Forsch.","1: 294","294","1919",tro-35204018
tro-35204018,B,Amblystegiaceae,,Amblystegiella,,"subtilis",f.,"tenuissima","(Schimp.) Podp.",Unresolved,,L,TRO,35204018,,"Consp. Musc. Eur.","563","563","1954",
tro-35102647,B,Brachytheciaceae,,Amblystegiella,,"tenuifolia",,"","(Hedw.) M. Fleisch.",Synonym,,M,TRO,35102647,,"Hedwigia","61: 407","407","1920",tro-35148943
tro-35102648,B,Amblystegiaceae,,Amblystegiella,,"yuennanensis",,"","Broth.",Synonym,,M,TRO,35102648,,"Symb. Sin.","4: 103","103","1929",tro-35103175
﻿ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35102682,B,Hypnaceae,,Amblystegium,,"adnatum",,"","(Hedw.) Austin",Synonym,,M,TRO,35102682,,"Musci Appalach.","370","370","1870",tro-35163259
tro-35102685,B,Amblystegiaceae,,Amblystegium,,"adpressum",,"","(Velen.) Velen.",Synonym,,M,TRO,35102685,,"Rozpr. České Akad. Vĕd, TY. 2, Vĕdy Mat. PYír.","12(11): 15","15","1903",tro-35102935
tro-35102686,B,Amblystegiaceae,,Amblystegium,,"aduncum",,"","(Hedw.) De Not.",Accepted,,M,TRO,35102686,,"Comment. Soc. Crittog. Ital.","2: 290 [Cronaca Briol. Ital. 2: 24]","24","1867",
tro-35102694,B,Amblystegiaceae,,Amblystegium,,"aduncum",var.,"majus","C.E.O. Jensen",Synonym,,L,TRO,35102694,,"Bot. Faeröes","1: 170","170","1901",tro-35149099
tro-35102695,B,Amblystegiaceae,,Amblystegium,,"aduncum",var.,"plumosum","(Schimp.) Hult",Synonym,,L,TRO,35102695,,"Acta Soc. Fauna Fl. Fenn.","3(1): 98","98","1886",tro-35103303
tro-35102698,B,Amblystegiaceae,,Amblystegium,,"afrofluitans",,"","(Müll. Hal.) Sim",Accepted,,M,TRO,35102698,,"Trans. Roy. Soc. South Africa","25: 452","452","1926",
tro-35102700,B,Hylocomiaceae,,Amblystegium,,"alaskanum",,"","(Lesq. & James) Lindb. & Arnell",Synonym,,M,TRO,35102700,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","23(10): 127","127","1890",tro-35164432
tro-35102701,B,Plagiotheciaceae,,Amblystegium,,"alpicola",,"","(Lindb. ex Lindb. & Arnell) Mönk.",Synonym,,M,TRO,35102701,,"Laubm. Eur.","723","723","1927",tro-35184158
tro-35102702,B,Amblystegiaceae,,Amblystegium,,"ambiguum",,"","De Not.",Accepted,,M,TRO,35102702,,"Comment. Soc. Crittog. Ital.","2: 290 [Cronaca Briol. Ital. 2: 24]","24","1867",
tro-35102704,B,Amblystegiaceae,,Amblystegium,,"americanum",,"","Grout",Synonym,,M,TRO,35102704,,"Bryologist","13: 32","32","1910",tro-35140491
tro-35102705,B,Amblystegiaceae,,Amblystegium,,"andinum",,"","Mitt.",Synonym,,M,TRO,35102705,,"J. Linn. Soc., Bot.","12: 570","570","1869",tro-35126911
tro-35102707,B,Amblystegiaceae,,Amblystegium,,"anzianum",,"","De Not.",Synonym,,M,TRO,35102707,,"Atti Reale Univ. Genova","1: 156","156","1869",tro-35102632
